Level1,Level2,Level3,Level4,Level5,Number,Address
Diaspora,Belgia,Roeselare 1,,,59,"Onze-Lieve-Vrouwemarkt 24, 8800 Roeselare"
Diaspora,Belgia,Roeselare 2,,,60,"Onze-Lieve-Vrouwemarkt 24, 8800 Roeselare"
Diaspora,Belgia,Sint-Niklaas,,,61,"Stationsplein 29c, 9100 Sint-Niklaas"
Diaspora,Belgia,Turnhout 1,,,62,"Campus Blairon 200, 2300 Turnhout"
Diaspora,Belgia,Turnhout 2,,,63,"Campus Blairon 200, 2300 Turnhout"
Diaspora,Bosnia și Herțegovina,Sarajevo,,,64,"Čobanija 28, 71000, Sarajevo"
Diaspora,Brazilia,Brasilia,,,65,"SEN 6 - Asa Norte, Avenida das Nações, Quadra 801 Lote 06, Brasília DF, cod poștal 70.800-917"
Diaspora,Brazilia,Chapeco,,,66,Avenida fernando machado 574 E- Centro cod postal 89814210 Chapeco
Diaspora,Brazilia,Rio de Janeiro,,,67,"Rua Cosme Velho, nr. 526, Rio de Janeiro, 22241-090"
Diaspora,Brazilia,São Paulo,,,68,"Rua São Carlos do Pinhal, nr. 200, São Paulo, 01333-000"
Diaspora,Bulgaria,Sofia,,,69,"Bd. Mihai Eminescu nr. 4, Sofia, cod poștal 1111"
Diaspora,Canada,Ottawa,,,70,"655 Rideau Street, Ottawa, ON, cod poștal K1N 6A3"
Diaspora,Canada,Calgary,,,71,"17 Millrise Dr. SW, Calgary, AB, cod poștal T2Y 0K7"
Diaspora,Canada,Moncton,,,72,"20 Mountain Road, Moncton, NB cod poștal E1C 2J8"
Diaspora,Canada,Quebec,,,73,"90 boul. des Etudiants, Quebec, QC, cod poștal G2A 1N5"
Diaspora,Canada,Toronto,,,74,"789 Don Mills Rd., North York, provincia Ontario, cod poștal M3C 1T5"
Diaspora,Canada,Hamilton,,,75,"20 Murray St. W., Hamilton, provincia Ontario, cod poștal L8L 1B2"
Diaspora,Canada,Kitchener,,,76,"2188 Shirley Dr., Kitchener, provincia Ontario, cod poștal N2B 0A6"
Diaspora,Canada,Windsor,,,77,"1960 Tecumseh Rd. E., Windsor, provincia Ontario, cod poștal N8W 1E1"
Diaspora,Canada,Winnipeg,,,78,"103 Furby St., Winnipeg, provincia Manitoba, cod poștal R3C 2A4"
Diaspora,Canada,Montreal 1,,,79,"1010 Rue Sherbrooke Ouest,et.6, #610, c.p.h3a 2r7"
Diaspora,Canada,Montreal 2,,,80,"1010 Rue Sherbrooke Ouest, et.15. #1516, c.p. h3a 2r7 (sala evenimente)"
Diaspora,Canada,Vancouver,,,81,"1165-555 Burrard Street, Vancouver, BC, V7X 1M8"
Diaspora,Canada,Edmonton,,,82,"9005 - 132 Avenue NW, Edmonton AB, T5E 0Y1"
Diaspora,Republica Cehă,Praga 1,,,83,"Strada Nerudova nr. 5, 118 00, Mala Strana, Praga 1"
Diaspora,Republica Cehă,Praga 2,,,84,"Strada Nerudova nr. 5, 118 00, Mala Strana, Praga 1"
Diaspora,Republica Cehă,Praga 3,,,85,"Strada Tržiště, nr. 20a, 118 00, Mala Strana, Praga 1"
Diaspora,Republica Chile,Santiago de Chile,,,86,"Santiago de Chile, Benjamin 2955, Las Condes, Regiunea Metropolitana, cod poștal 7550032"
Diaspora,Republica Populară Chineză,Beijing,,,87,"Str. Ritan Lu Dong Yi Jie, Districtul Chaoyang, cod poștal 100600, Beijing"
Diaspora,Republica Populară Chineză,Hong Kong,,,88,"03A Unit, 21 Floor, 148 Electric Road, North Point, Hong Kong"
Diaspora,Republica Populară Chineză,Shanghai,,,89,"502 Room, Honi International Plaza, 199 Chengdu North Road, Jing An District, Shanghai, 200041"
Diaspora,Republica Cipru,Nicosia 1,,,90,"27 Pireos street, 2023 Strovolos Nicosia"
Diaspora,Republica Cipru,Nicosia 2,,,91,"128 - 130 Lemessos Avenue, 2015, Strovolos Nicosia"
Diaspora,Republica Cipru,Larnaca,,,92,"Chamit Mpei street, 6045 Larnaca"
Diaspora,Republica Cipru,Limassol,,,93,"Lophitis Business Center, 28 October Avenue 249-I, Ground floor, 3035 Limassol"
Diaspora,Republica Cipru,Pafos,,,94,"Teatrul Attikon, Evagora Pallikaridi street, cod poștal 8010, Pafos, Cipru"
Diaspora,Republica Cipru,Poli Chrysochous,,,95,"Centrul Cultural, 15 Asinoi, street, cod poștal 8820, Poli Crysochous, Cipru"
Diaspora,Republica Cipru,Agros,,,96,"Școala Gimnazială Apeitou, 44 Kyriacou Apeitou str., 4860 Agros"
Diaspora,Republica Cipru,Deryneia,,,97,"Cultural Center, 35 Evagorou  str., 5385 Deryneia"
Diaspora,R.Columbia,Bogota,,,98,"Carrera 7 Nr. 92A-58, Chico, Bogota"
