number,country,city,location,address,latitude,longitude
51,Belgia,Charleroi,Altele,"Centre Espace Meeting  Charleroi (CEME), Rue des Francais 147, 6020",50.42282762,4.43288863
52,Belgia,Geel,Altele,"Stelen 77, 2440 Geel",51.12601502,4.97087495
53,Belgia,Ghent,Altele,"Kinepolis Gent, Ter Platen 12, 9000 Ghent",51.04054742,3.72997753
54,Belgia,Hasselt,Altele,"Het Volkstehuis, Kempische Kaai 11, 3500 Hasselt",50.93514375,5.33836222
55,Belgia,Liège,Altele,"Palais de Congres de Liege,  Esplanade de lEurope 2/B, 4020 Liege",50.63080051,5.5741951
56,Belgia,Liège,Altele,"Palais de Congres de Liege,  Esplanade de lEurope 2/B, 4020 Liege",50.63059672,5.57425102
57,Belgia,Mons,Altele,"Lotto Mons Expo, Avenue  Thomas Edison 2, 7000 Mons",50.4581637,3.93748904
58,Belgia,Namur,Altele,"Auditorium Berthe Pouleur,  Avenue Jean Materne 162, 5100 Namur",50.4558104,4.8726032
59,Belgia,Roeselare,Altele,"Onze-Lieve-Vrouwemarkt 24, 8800 Roeselare",50.9475786,3.1349379
60,Belgia,Roeselare,Altele,"Onze-Lieve-Vrouwemarkt 24, 8800 Roeselare",50.9475786,3.1349379
61,Belgia,Sint-Niklaas,Altele,"Stationsplein 29c, 9100 SintNiklaas",51.17068577,4.14401032
62,Belgia,Turnhout,Altele,"Campus Blairon 200, 2300 Turnhout",51.3159617,4.9298137
63,Belgia,Turnhout,Altele,"Campus Blairon 200, 2300 Turnhout",51.3159617,4.9298137
64,Bosnia și Herțegovina,Sarajevo,Ambasadă,"Čobanija 28, 71000, Sarajevo",43.8536274,18.42138006
65,Brazilia ,Brasilia,Ambasadă,"SEN 6 - Asa Norte, Avenida das  Nações, Quadra 801 Lote 06,  Brasília DF, cod poștal 70.800917",-15.78746526,-47.86609045
66,Brazilia ,Chapeco,Altele,Avenida fernando machado 574  E- Centro cod postal 89814210 Chapeco,-27.11038307,-52.61503758
