"Level1","Level2","Level3","Level4","Level5","Nationals","ForeignResidents","Address"
"1C",,,,,5,,"Esc. Nº5 ""Agustín Álvarez"" - Humberto I 1573"
"1C",,,,,4,,"Colegio Inmaculada Concepción - Carlos Calvo 1186"
"1C",,,,,6,,"Colegio N°1 ""Bernardino Rivadavia"" - Av. San Juan 1545 / s/n"
"1C",,,,,8,,"UBA - Facultad de Cs. Sociales - Santiago del Estero 1029"
"1C",,,,,5,3,"Esc. Nº16 ""Eustaquio Cárdenas"" - Salta 1226"
"1C",,,,,8,,"Colegio de la Providencia - Cochabamba 1414"
"1C",,,,,4,4,"Esc. Nº11 ""Dr. Ricardo Gutiérrez"" - Pte. L S. Peña 1215 / Av. San Juan s/n"
"1C",,,,,4,,"Inst. Los Ángeles - Primaria - Virrey Cevallos 1287"
"1C",,,,,4,,"Inst. Vocacional de Arte - Av. Juan de Garay 1684"
"1C",,,,,4,6,"Esc. Nº6 ""Tomás Guido"" - San José 1985"
"1C",,,,,10,,"Esc. Nº4 ""Cnel. de Marina T. Espora"" - Solís 1815"
"1C",,,,,4,,"Jardín de Infantes ""Walt Disney"" - San José 1980"
"1C",,,,,3,,"Inst. Los Ángeles - Secundaria - Av. Entre Ríos 1956"
"1C",,,,,9,4,"Inst. Hogar del Pino - Constitución 1650"
"2A",,,,,19,4,"UBA - Facultad de Derecho - Av. Figueroa Alcorta 2263"
"2A",,,,,3,,"Esc. Nacional de Bibliotecarios - Agüero 2502"
"2A",,,,,10,7,"UBA - Facultad de Derecho - Av. Figueroa Alcorta 2263"
"2A",,,,,7,,"Esc. Nº21 ""Ángel Gallardo"" - Ayacucho 1849"
"2A",,,,,3,,"Inst. Nuestra Señora del Pilar - Vicente López 1969"
"2A",,,,,18,,"Esc. Nº1 ""Juan José Castelli"" - Ayacucho 1680"
"2A",,,,,4,7,"Esc. Nº18 ""Dr. Herrera Vegas"" - Av. Gral. Las Heras 3086"
"2A",,,,,6,,"Colegio San Tarsicio - Juncal 2623"
"2A",,,,,9,,"Esc. Nº24 ""Cornelia Pizarro"" - Peña 2670"
"2B",,,,,5,,"Alianza Francesa - Centro Fortabat - Billinghurst 1926"
"2A",,,,,4,,"Inst. María Bianchi de Copello - Pacheco de Melo 2455"
"2B",,,,,12,,"Esc. Nº10 ""Gregoria Pérez"" - Arenales 2733"
"2A",,,,,4,,"Colegio Río de la Plata - Secundaria - Laprida 1635"
"2A",,,,,19,,"Inst. San Agustín - Agüero 2320 / s/n"
"2A",,,,,8,,"Inst. San Miguel - Larrea 1254"
"2A",,,,,4,,"Inst. Padre Etcheverry Boneo - Juncal 2131"
"2A",,,,,5,10,"Colegio San Pablo - Pacheco de Melo 2300"
"2B",,,,,9,,"Liceo Nacional Nº1 ""J. F. Alcorta"" - Av. Santa Fe 2778"
